molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,data_validity_comment,document_year,document_chembl_id,target_chembl_id,potential_duplicate,dataset,molecule_pref_name,pchembl,std_smiles
CHEMBL3330959,O=C(NNC(=S)Nc1ccc(OC(F)(F)F)cc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,1445.44,nM,=,5.84,CHEMBL3380429,Antitubercular activity against Mycobacterium tuberculosis H37Rv strain by BACTEC 460 radiometric assay,,2014,CHEMBL3352424,CHEMBL360,0,Mtb_whole_cell,,5.84,O=C(NNC(=S)Nc1ccc(OC(F)(F)F)cc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
CHEMBL3329644,O=C(NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1)NC1CCCCCCCCCCC1,IC50,1778.28,nM,=,5.75,CHEMBL3380429,Antitubercular activity against Mycobacterium tuberculosis H37Rv strain by BACTEC 460 radiometric assay,,2014,CHEMBL3352424,CHEMBL360,0,Mtb_whole_cell,,5.75,O=C(NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1)NC1CCCCCCCCCCC1
CHEMBL3354606,O=C1C=C(N(Cc2cn(Cc3ccccc3)nn2)c2ccc(C(F)(F)F)cc2)C(=O)c2ccccc21,IC50,1870.0,nM,=,5.73,CHEMBL3367829,Antimycobacterial activity against Mycobacterium tuberculosis H37Rv assessed as growth inhibition by microdilution AlamarBlue broth assay,,2014,CHEMBL3351272,CHEMBL360,0,Mtb_whole_cell,,5.73,O=C1C=C(N(Cc2cn(Cc3ccccc3)nn2)c2ccc(C(F)(F)F)cc2)C(=O)c2ccccc21
CHEMBL1814762,Nc1ncnc2c1c(-c1ccccc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1340.0,nM,=,5.87,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.87,Nc1ncnc2c1c(-c1ccccc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL1814763,COc1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc(N)c23)cc1,IC50,2080.0,nM,=,5.68,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.68,COc1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc(N)c23)cc1
CHEMBL1814765,Nc1ncnc2c1c(-c1cccc3ccccc13)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1870.0,nM,=,5.73,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.73,Nc1ncnc2c1c(-c1cccc3ccccc13)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL1814773,Nc1ncnc2c1c(-c1cc[nH]c1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1120.0,nM,=,5.95,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.95,Nc1ncnc2c1c(-c1cc[nH]c1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL1814778,Nc1ncnc2c1c(-c1nccs1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,2510.0,nM,=,5.6,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.6,Nc1ncnc2c1c(-c1nccs1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL1814771,Nc1ncnc2c1c(-c1cc3ccccc3o1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,2270.0,nM,=,5.64,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.64,Nc1ncnc2c1c(-c1cc3ccccc3o1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3342659,Cc1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc(N)c23)cc1C,IC50,1130.0,nM,=,5.95,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.95,Cc1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc(N)c23)cc1C
