dataset,molecule_chembl_id,std_smiles,pchembl,pchembl_sd,n_meas,endpoints,n_assay,year_min,year_max,pref_name
InhA_enzyme,CHEMBL3125261,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3nc4ccccc4o3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.52,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125259,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3ncco3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.3,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125258,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3nccs3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,7.77,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125248,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)N[C@H](CO)Cc3ccccc3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,6.95,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125250,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3cc(C)on3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,7.75,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125245,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3ccc4c(c3)B(O)OC4)N(C(=O)c3coc4ccccc34)C2)n(C)n1,7.58,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125244,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3ccccn3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,7.96,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125252,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3ccn(C)n3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.15,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125256,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3ccn(Cc4c(F)cccc4F)n3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.4,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125255,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3ccn(Cc4ccc(F)cc4)n3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.3,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125253,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3cnn(CC)n3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.52,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125251,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3nc(C)co3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,8.05,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125275,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)O)N(C(=O)c3coc4ccccc34)C2)n(C)n1,5.89,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125274,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)OC)N(C(=O)c3coc4ccccc34)C2)n(C)n1,6.67,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125279,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(N)=O)N(C(=O)c3coc4ccccc34)C2)n(C)n1,7.92,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL3125270,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(N)=O)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,8.4,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL4171082,CCc1cc(C(=O)c2cc[n+]([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(N)ncnc65)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)cc2C(N)=O)ccn1,8.15,,1,Ki,1,2018,2018,
InhA_enzyme,CHEMBL5406599,CCc1cc(Nc2ccc(N3CCCCC3)cc2)c2cc(Br)ccc2n1,5.81,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL5399436,CCc1cc(Nc2ccc(N3CCCCC3)cc2)c2cc(Cl)ccc2n1,5.54,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL213872,CCn1c2ccccc2c2cc(NC(=O)C3CC(=O)N(C4CCCCC4)C3)ccc21,5.59,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL5632202,CN(C)S(=O)(=O)c1ccc(NCc2cn(Cc3ccc(Oc4ccccc4)c(O)c3)nn2)c2nonc12,6.13,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL4564531,CN(C)c1ccc(/C=C2/SC(=S)N(CC(=O)c3ccccc3)C2=O)cc1,4.76,,1,IC50,1,2019,2019,
