MW,cLogP,TPSA,HBD,HBA,RotB,RingCount,AromRings,FracCsp3,HeavyAtoms,FormalCharge,QED,BertzCT,NumHeteroatoms,StereoCentres,dataset,mol_id,smiles,pchembl,n_meas,endpoints,scaffold,Lipinski_viol,Veber_ok
304.817,5.9607000000000046,29.46,1,2,7,2,2,0.3333333333333333,21,0,0.639346009743785,581.1810514043303,3,0,InhA_enzyme,CHEMBL4162007,CCCCCCc1ccc(Oc2ccccc2Cl)c(O)c1,8.165,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
285.387,4.889500000000005,55.480000000000004,2,3,7,2,2,0.3333333333333333,21,0,0.5622569028925711,581.1810514043303,3,0,InhA_enzyme,CHEMBL264434,CCCCCCc1ccc(Oc2ccccc2N)c(O)c1,7.8,3,IC50|Ki,c1ccc(Oc2ccccc2)cc1,0,1
357.4060000000001,4.330400000000004,95.86,3,4,8,2,2,0.3,26,0,0.4826020471123721,772.5468996978852,6,0,InhA_enzyme,CHEMBL407324,CCCCCCc1ccc(Oc2ccccc2NC(=O)C(=O)O)c(O)c1,7.314999999999999,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,0,1
380.44400000000013,5.5476000000000045,84.59,2,5,9,3,3,0.2727272727272727,28,0,0.475631701247008,906.6600389368417,6,0,InhA_enzyme,CHEMBL428967,CCCCCCc1ccc(Oc2ccccc2NC(=O)c2ccno2)c(O)c1,7.245,2,IC50|Ki,O=C(Nc1ccccc1Oc1ccccc1)c1ccno1,1,1
327.4240000000001,5.265700000000005,58.56,2,3,8,2,2,0.35,24,0,0.6496822678606192,682.3342206480377,4,0,InhA_enzyme,CHEMBL264176,CCCCCCc1ccc(Oc2ccccc2NC(C)=O)c(O)c1,7.404999999999999,2,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
315.3690000000001,5.215500000000005,72.60000000000001,1,4,8,2,2,0.3333333333333333,23,0,0.4118030550631589,669.8212033516031,5,0,InhA_enzyme,CHEMBL264415,CCCCCCc1ccc(Oc2ccccc2[N+](=O)[O-])c(O)c1,6.82,4,IC50|Ki,c1ccc(Oc2ccccc2)cc1,1,1
271.36,4.702300000000005,42.35,1,3,7,2,2,0.35294117647058826,20,0,0.7419357310107407,525.7681426835314,3,0,InhA_enzyme,CHEMBL264679,CCCCCCc1ccc(Oc2ccccn2)c(O)c1,4.94,3,IC50|Ki,c1ccc(Oc2ccccn2)cc1,0,1
271.36,4.702300000000005,42.35,1,3,7,2,2,0.35294117647058826,20,0,0.7419357310107407,525.7681426835314,3,0,InhA_enzyme,CHEMBL405655,CCCCCCc1ccc(Oc2cccnc2)c(O)c1,7.814999999999999,2,IC50|Ki,c1ccc(Oc2cccnc2)cc1,0,1
271.36,4.702300000000005,42.35,1,3,7,2,2,0.35294117647058826,20,0,0.7419357310107407,525.7681426835314,3,0,InhA_enzyme,CHEMBL259138,CCCCCCc1ccc(Oc2ccncc2)c(O)c1,7.9,2,IC50|Ki,c1ccc(Oc2ccncc2)cc1,0,1
272.348,4.097300000000003,55.24000000000001,1,4,7,2,2,0.375,20,0,0.7709597535111004,529.2550109847872,4,0,InhA_enzyme,CHEMBL258932,CCCCCCc1ccc(Oc2cnccn2)c(O)c1,7.595000000000001,2,IC50|Ki,c1ccc(Oc2cnccn2)cc1,0,1
